humanAnnotator,TaxonID,class,scientificName,documentType,urls,NOTES,Residential & Commerial Development,Agriculture & Aquaculture,Energy Producting & Mining,Transportation & Service Corridors,Biological Resource Use,Human Intrusions & Disturbance,Natural System Modifcations,Invasive & Other Problematic Species & Genes,Pollution,Geological Events,Climate Change & Severe Weather,Limiting/Intrinsic Population Factors,DISEASE?
Vaughn,1546,Insecta,Euphydryas anicia cloudcrofti,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/88/54263,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Jayme,1397,Bivalvia,Ptychobranchus subtentus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Fluted Kidneyshell_Final RP.pdf,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Melissa,9879,Bivalvia,Obovaria subrotunda,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/88/14794,"We have determined that the longsolid and round hickorynut are threatened species due to the following threats: habitat degradation or loss (Factor A) from a variety of sources (e.g., dams and other barriers, resource extraction); degraded water quality from chemical contamination and erosion from development, agriculture, mining, and forest conversion (Factor A); direct mortality from dredging (Factor E); residual impacts (reduced population size) from historical harvest (Factor B); and the proliferation of invasive, nonnative species (Factor E). These threats also contribute to the negative effects associated with the species’ small population sizes (Factor E).",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Ann Marie,317,Bivalvia,Epioblasma metastriata,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf,Presumed extinct; main threats for all species in document were habitat modification due to dams and aquatic pollution,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Jayme,8083,Bivalvia,Medionidus simpsonianus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Ochlockonee Moccasinshell Recovery Plan Amendment_1.pdf,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Melissa,9815,Malacostraca,Faxonius eupunctus,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/163713,"excessive sedimentation and degraded water quality. hough the effects of degraded water quality on the two species of crayfish is unclear, we presume that degraded water quality reduces reproduction and survivorship of crayfish.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Ann Marie,4780,Gastropoda,Taylorconcha serpenticola,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/951126.pdf,**Does agricultural pollution qualify both agriculture and pollution as threats?,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Vaughn,7867,Bivalvia,Cumberlandia monodonta,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/224411,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Jayme,5011,Malacostraca,Cambarus aculabrum,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Cave Crayfish Recovery Plan Amendment.pdf,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Melissa,464,Gastropoda,Triodopsis platysayoides,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2768.pdf,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
