scientificName,genus,domain,domainSub
Acropora palmata,Acropora,Aquatic,Marine
Adelocosa anops,Adelocosa,Terrestrial,Terrestrial
Alasmidonta atropurpurea,Alasmidonta,Aquatic,Freshwater
Alasmidonta raveneliana,Alasmidonta,Aquatic,Freshwater
Alasmidonta triangulata,Alasmidonta,Aquatic,Freshwater
Alasmidonta varicosa,Alasmidonta,Aquatic,Freshwater
Amblema neislerii,Amblema,Aquatic,Freshwater
Ambrysus amargosus,Ambrysus,Aquatic,Freshwater
Anaea troglodyta floridalis,Anaea,Terrestrial,Terrestrial
Anguispira picta,Anguispira,Terrestrial,Terrestrial
Antrobia culveri,Antrobia,Aquatic,Freshwater
Antrolana lira,Antrolana,Aquatic,Freshwater
Apodemia mormo langei,Apodemia,Terrestrial,Terrestrial
Arcidens wheeleri,Arcidens,Aquatic,Freshwater
Assiminea pecos,Assiminea,Aquatic,Freshwater
Athearnia anthonyi,Athearnia,Aquatic,Freshwater
Batrisodes texanus,Batrisodes,Terrestrial,Terrestrial
Batrisodes venyivi,Batrisodes,Terrestrial,Terrestrial
Bombus affinis,Bombus,Terrestrial,Terrestrial
Bombus franklini,Bombus,Terrestrial,Terrestrial
Bombus terricola,Bombus,Terrestrial,Terrestrial
Branchinecta conservatio,Branchinecta,Aquatic,Freshwater
Branchinecta longiantenna,Branchinecta,Aquatic,Freshwater
Branchinecta lynchi,Branchinecta,Aquatic,Freshwater
Branchinecta sandiegonensis,Branchinecta,Aquatic,Freshwater
Brychius hungerfordi,Brychius,Aquatic,Freshwater
Callophrys mossii bayensis,Callophrys,Terrestrial,Terrestrial
Cambarus aculabrum,Cambarus,Aquatic,Freshwater
Cambarus cracens,Cambarus,Aquatic,Freshwater
Cambarus elkensis,Cambarus,Aquatic,Freshwater
Cambarus veteranus,Cambarus,Aquatic,Freshwater
Cambarus williami,Cambarus,Aquatic,Freshwater
Cambarus zophonastes,Cambarus,Aquatic,Freshwater
Campeloma decampi,Campeloma,Aquatic,Freshwater
Cicindela marginipennis,Cicindela,Terrestrial,Terrestrial
Cicindela ohlone,Cicindela,Terrestrial,Terrestrial
Cicindela theatina,Cicindela,Terrestrial,Terrestrial
Cicurina baronia,Cicurina,Terrestrial,Terrestrial
Cicurina madla,Cicurina,Terrestrial,Terrestrial
Cicurina venii,Cicurina,Terrestrial,Terrestrial
Cicurina vespera,Cicurina,Terrestrial,Terrestrial
Copablepharon fuscum,Copablepharon,Terrestrial,Terrestrial
Cryptomastix devia,Cryptomastix,Terrestrial,Terrestrial
Cryptomastix hendersoni,Cryptomastix,Terrestrial,Terrestrial
Cumberlandia monodonta,Cumberlandia,Aquatic,Freshwater
Cyprogenia aberti,Cyprogenia,Aquatic,Freshwater
Cyprogenia stegaria,Cyprogenia,Aquatic,Freshwater
Danaus plexippus,Danaus,Terrestrial,Terrestrial
Desmocerus californicus dimorphus,Desmocerus,Terrestrial,Terrestrial
Dinacoma caseyi,Dinacoma,Terrestrial,Terrestrial
Discus macclintocki,Discus,Terrestrial,Terrestrial
Dromus dromas,Dromus,Aquatic,Freshwater
Drosophila aglaia,Drosophila,Terrestrial,Terrestrial
Drosophila musaphilia,Drosophila,Terrestrial,Terrestrial
Drosophila sharpi,Drosophila,Terrestrial,Terrestrial
Drosophila tarphytrichia,Drosophila,Terrestrial,Terrestrial
Elaphrus viridis,Elaphrus,Terrestrial,Terrestrial
Elimia crenatella,Elimia,Aquatic,Freshwater
Ellipsoptera puritana,Ellipsoptera,Terrestrial,Terrestrial
Elliptio chipolaensis,Elliptio,Aquatic,Freshwater
Elliptio lanceolata,Elliptio,Aquatic,Freshwater
Elliptio spinosa,Elliptio,Aquatic,Freshwater
Elliptoideus sloatianus,Elliptoideus,Aquatic,Freshwater
Epioblasma brevidens,Epioblasma,Aquatic,Freshwater
Epioblasma capsaeformis,Epioblasma,Aquatic,Freshwater
Epioblasma metastriata,Epioblasma,Aquatic,Freshwater
Epioblasma obliquata,Epioblasma,Aquatic,Freshwater
Epioblasma othcaloogensis,Epioblasma,Aquatic,Freshwater
Epioblasma penita,Epioblasma,Aquatic,Freshwater
Epioblasma perobliqua,Epioblasma,Aquatic,Freshwater
Epioblasma rangiana,Epioblasma,Aquatic,Freshwater
Epioblasma triquetra,Epioblasma,Aquatic,Freshwater
Epioblasma turgidula,Epioblasma,Aquatic,Freshwater
Erinna newcombi,Erinna,Aquatic,Freshwater
Euchloe ausonides insulanus,Euchloe,Terrestrial,Terrestrial
Euphilotes ancilla purpura,Euphilotes,Terrestrial,Terrestrial
Euphilotes battoides allyni,Euphilotes,Terrestrial,Terrestrial
Euphilotes enoptes smithi,Euphilotes,Terrestrial,Terrestrial
Euphydryas anicia cloudcrofti,Euphydryas,Terrestrial,Terrestrial
Euphydryas editha taylori,Euphydryas,Terrestrial,Terrestrial
