"","ResponseIndex","TaxonID.x","class.x","scientificName.x","documentType.x","urls.x","Response","Document/Response Validated?","Threats Listed?","documentKey","humanAnnotator","TaxonID.y","class.y","scientificName.y","documentType.y","urls.y","NOTES","Residential & Commerial Development","Agriculture & Aquaculture","Energy Producting & Mining","Transportation & Service Corridors","Biological Resource Use","Human Intrusions & Disturbance","Natural System Modifcations","Invasive & Other Problematic Species & Genes","Pollution","Geological Events","Climate Change & Severe Weather","Limiting/Intrinsic Population Factors","DISEASE?"
"1",21,4779,"Gastropoda","Tryonia cheatumi","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/78/40970?link-type=pdf","features essential to the conservation of the species. Habitat in this unit is threatened by declining spring flows due to drought or groundwater withdrawals, the presence of nonnative snails, the introduction of other nonnative species, and further habitat modification. Therefore, the physical or biological features in this unit may require special management considerations or protection to minimize impacts resulting from these threats.

Phantom Lake Spring Unit

Phantom Lake Spring consists of 0.02 ha (0.05 ac) that is currently occupied by the Phantom springsnail, Phantom tryonia, and diminutive amphipod and contains all of the features essential to the conservation of these species. This unit is located on Federal land within the boundaries of the Balmorhea State Park managed by Texas Parks and Wildlife Department in Jeff Davis County, near Balmorhea, Texas. The designation includes the concrete-lined pool and the irrigation ditch that captures the spring water. The unit contains most all of the identified physical or biological features essential to the conservation of the species. Habitat in this unit is threatened by declining spring flows due to drought or groundwater withdrawals, the presence of nonnative snails, the introduction of other nonnative species, and potential further modification of the spring outflow channel. Therefore, the physical or biological features in this unit may require special management considerations or protection to minimize impacts resulting from these threats.

Diamond Y Spring System Unit

The Diamond Y Spring System Unit consists of 178.6 ha (441.4 ac) that is currently occupied by the Diamond tryonia, Gonzales tryonia, and Pecos amphipod and contains all of the features essential to the conservation of these species. It is located on private property managed by The Nature Conservancy in Pecos County, near Fort Stockton, Texas. The designation includes all springs, seeps, outflows, and associated wetlands of the Diamond Y Spring system. This unit contains all of the identified physical or biological features essential to the conservation of the species. Habitat in this unit is threatened by declining spring flows due to drought or groundwater withdrawals, the introduction of nonnative species, contamination from nearby oil and gas development, and further habitat modification. Therefore, the physical or biological features in this unit may require special management considerations or protection to minimize impacts resulting from these threats.",TRUE,NA,"4779CriticalHabitatDesignationURLshttps://www.govinfo.gov/link/fr/78/40970?link-type=pdf","Melissa",4779,"Gastropoda","Tryonia cheatumi","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/78/40970?link-type=pdf","It did not have a specific threats sections -- declining spring flows",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2",51,5052,"Gastropoda","Elimia crenatella","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf","Based on the information provided, the identified threats to **Elimia crenatella** (Lacy Elimia) include:

1. **Habitat Loss and Degradation:** The summary doesn't detail specific causes of habitat loss, but the general issues affecting aquatic snails typically include water pollution, sedimentation, dam construction, and other alterations to natural water flow which can lead to habitat degradation and loss. These factors are implied rather than directly stated in the provided text.

2. **Restricted Distribution:** The Lacy Elimia has a limited distribution range. It's currently known from one primary location, lower Cheaha Creek, with two populations having been extirpated since its listing. This restricted distribution makes the species especially vulnerable to extirpation due to localized threats.

3. **Lack of Recovery Progress:** The criteria for the species’ recovery, including having a minimum of 3 populations shown to be persistent for a period of 10 years, have not been met. This indicates ongoing vulnerability and possibly ongoing or unmitigated threats to the species' survival.

4. **Lack of Standardized Monitoring Plans:** There is an absence of standardized annual monitoring plans for the Lacy Elimia, as well as other species discussed. This lack of consistent and systemic monitoring indicates a threat in terms of insufficient data to adequately assess population trends, threats, and recovery needs.

5. **Water Quality and Habitat Protection:** Comments provided during the review process highlighted the importance of water quality and aquatic habitat. Although specific to the Black Warrior River drainage and other species, these comments reflect broader concerns applicable to freshwater mollusks like the Lacy Elimia. Declines in water quality, due to pollutants, runoff, and altered stream flow, threaten aquatic habitats. 

6. **Low Recovery Potential:** Based on the recovery priority system, although not directly categorized here for Lacy Elimia, species with higher threat levels and lower recovery potentials demand significant management efforts to mitigate threats. The challenges reflected in meeting the outlined recovery criteria suggest Lacy Elimia might also have low recovery potential without substantial conservation efforts.

In summary, while not all threats to Elimia crenatella are explicitly detailed, implicit threats include habitat loss and degradation, limited and diminishing distribution, water quality issues, and inadequate monitoring and recovery efforts. These factors collectively contribute to the species’ continued status as threatened.",TRUE,NA,"5052ReviewURLshttps://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf","Melissa",5052,"Gastropoda","Elimia crenatella","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"3",72,464,"Gastropoda","Triodopsis platysayoides","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2768.pdf","Based on the given text, the identified threats to Triodopsis platysayoides (Flat-spired Three-toothed Land Snail) include:

1. **Recreational Impacts:** Increased recreational activity, particularly in areas like Coopers Rock State Forest, poses a threat due to potential habitat destruction from hiking, biking, and rock climbing. The creation of new trails and off-trail activity by visitors can crush snails and reduce leaf litter, which is crucial for the snails' survival.

2. **Fire:** Fire, whether natural, accidental, or prescribed, poses a significant threat to the snail's habitat. Fires can kill snails directly and significantly reduce the leaf litter layer, impacting the snails' foraging habitat and potential survival.

3. **Timber Harvesting:** While the state ownership of land has reduced the threat of private logging, timber harvesting activities, if not properly managed, could still pose a threat to the snail's habitat. The existence of buffers during timber operations helps, but the effectiveness of these buffers remains a question.

4. **Coal Mining and Other Mineral Development:** The development of mineral resources like coal, limestone, and natural gas within the Cheat Canyon poses a potential threat to the snail's habitat. Even though most of the land is publicly owned, some mineral rights are privately owned or only partially owned by the state, allowing for possible development that could damage or destroy snail habitats.

5. **Climate Change:** While not explicitly mentioned in the provided sections, climate change is a global threat that can affect habitats and species distribution, potentially impacting the Flat-spired Three-toothed Land Snail's survival indirectly through alterations in its preferred moist and cool habitat conditions.

6. **Predation and Natural or Man-made Factors:** The text alludes to the fact that predation (Factor C) and other natural or man-made factors (Factor E) have been identified as potential threats, but the need for their inclusion in recovery criteria is uncertain. This suggests there may be more threats not fully explored or understood in the current analysis.

These threats, when combined, highlight the complexity of conservation efforts needed for Triodopsis platysayoides, focusing not only on direct human impacts but also on broader environmental changes that could affect its survival.",TRUE,NA,"464ReviewURLshttps://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2768.pdf","Melissa",464,"Gastropoda","Triodopsis platysayoides","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2768.pdf","",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"4",77,2309,"Gastropoda","Helminthoglypta walkeriana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/980928e.pdf","The identified threats for Helminthoglypta walkeriana (Morro shoulderband snail) according to the text are:

1. Habitat destruction and degradation due to development.
2. Invasion by non-native plants such as veldt grass.
3. Structural changes in the vegetation due to plant senescence.
4. Recreational use, including off-highway vehicle activity.
5. Competition with the brown garden snail (Helix aspersa).
6. Use of molluscicides.
7. The potential for extirpation of populations that are small and isolated.",TRUE,NA,"2309RecoveryPlanURLshttps://ecos.fws.gov/docs/recovery_plan/980928e.pdf","Melissa",2309,"Gastropoda","Helminthoglypta walkeriana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/980928e.pdf","",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"5",85,5039,"Bivalvia","Alasmidonta raveneliana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf","Based on the detailed account in your text about the Appalachian elktoe (Alasmidonta raveneliana), several threats have been identified affecting the species across its range, which can be classified into broader categories as follows:

1. **Habitat Degradation and Sedimentation:**
   - Chronic turbidity and sedimentation impacting mussel species.
   - Flooding events (e.g., hurricanes Frances and Ivan in 2004) causing landslides and destabilizing river banks, leading to ongoing habitat degradation.

2. **Environmental Pollution:**
   - Chemical spill reported in the Cane River in 2008, affecting mussel population viability.
   - Effluent from the Evergreen paper mill in Canton, NC, despite improvements, creating an environment unsuitable for Appalachian elktoe due to waste heat and tannic effluent.

3. **Human Activities and Land Use Changes:**
   - Development within watersheds and several hydro power operations causing water to rise and fall rapidly and discharge cold water into the habitat impacting mussel populations, particularly in the Tuckaseegee River.
   - Rural and agricultural activity in watersheds (e.g., Pigeon River and East Fork Pigeon), potentially limiting mussel density and extent.

4. **Physical Barriers:**
   - Dams and reservoirsthat block upstream migration of the species and segment populations (e.g., Lake Logan Dam, Cascade Lake Dam).
    
5. **Climate Change and Temperature Variability:**
   - Potential impact from high temperatures particularly noted in the discussions regarding the Nolichucky River populations.

6. **Low Population Density and Viability:**
   - Declines in mussel population density making them vulnerable to extinction.
   - The need for significant habitat improvements and protections to stabilize or increase populations.

7. **Genetic Isolation and Fragmentation:**
   - Populations are separated by impoundments (e.g., between segments of the Little Tennessee River population) and potentially degraded habitats, which could limit gene flow and increase vulnerability.

8. **Limited Recruitment and Reproductive Success:**
   - Observations of limited reproducing individuals in certain populations and reduced evidence of juvenile recruitment in key areas.

These threats collectively contribute to the low recovery potential and high degree of threat faced by the Appalachian elktoe, as indicated by its continued Endangered status and discussions surrounding the species' management and recovery efforts.",TRUE,NA,"5039ReviewURLshttps://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf","Ann Marie",5039,"Bivalvia","Alasmidonta raveneliana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"6",101,4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/189393","The identified threats for *Elliptio lanceolata* (Yellow Lance) as summarized from the provided text can be outlined as follows:

1. **Habitat Degradation**: This includes the cumulative impacts of land use change affecting water quality, water quantity, habitat connectivity, and in-stream habitat quality.

2. **Reduced Stream Flow**: Changes in land use, water withdrawals for agriculture, and urbanization can reduce the amount of water flowing in streams and rivers, which is critical for the mussel's survival.

3. **Pollution**: Input from agricultural runoff, urban stormwater, and wastewater can degrade the water quality, affecting the mussel's habitat.

4. **Habitat Fragmentation**: The construction of barriers (such as dams) and the alteration of natural stream courses lead to fragmented populations, reducing gene flow and the species' ability to recolonize areas from which it has been extirpated.

5. **Climate Change**: Increasing temperatures, changes in precipitation patterns, and more frequent or severe droughts are expected to exacerbate the loss of suitable habitat and could affect water temperature and flow, further stressing populations.

6. **Isolation of Populations**: Many of the remaining populations are small and fragmented, making them more vulnerable to extirpation due to stochastic events and reducing their adaptive capacity.

7. **Loss of Resiliency and Redundancy**: Most populations are in low condition or presumed extirpated, severely limiting the species' ability to withstand environmental variability and catastrophic events.

8. **Loss of Representation**: The loss of geographic, genetic, and ecological variability as a result of reduced occupancy across its historic range, particularly in the Coastal Plain and Piedmont regions, has led to a decrease in the species' overall adaptive capacity and viability.

These threats combine to reduce the viability of the Yellow Lance across its range, with projections under various scenarios indicating a continued decline in most measures of conservation value (resiliency, redundancy, and representation) into the future.",TRUE,NA,"4511SpeciesStatusAssessmentURLshttps://ecos.fws.gov/ServCat/DownloadFile/189393","Melissa",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/189393","",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"7",103,4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/138974","The identified threats to Elliptio lanceolata (Yellow Lance) can be categorized into environmental and anthropogenic influences, which have led to habitat degradation and population declines. These threats include:

1. **Habitat Degradation**: Resulting from cumulative impacts of land use changes that negatively affect water quality, water quantity, habitat connectivity, and in-stream habitat quality.

2. **Pollution**: Contributing to deteriorating water quality, which negatively impacts the species' ability to thrive.

3. **Reduced Stream Flow**: Affecting the quantity of water available, which is crucial for the species' survival. Reduced stream flow can result from various factors including water withdrawals for agricultural, industrial, and domestic use.

4. **Habitat Fragmentation**: Leading to small, isolated populations that are more vulnerable to extirpation due to stochastic events and reduced genetic diversity.

5. **Climate Change**: Manifesting through increasing temperatures and droughts, further exacerbating habitat degradation and impacting the species' range and abundance.

6. **Land Use Change**: Including urbanization and agricultural practices, leading to changes in water quality and quantity, and adding to the species' habitat fragmentation and degradation.

7. **Water Quality and Quantity**: Critical components for the species' viability. Degradation of water quality through pollution, sedimentation, and chemical runoff, combined with altered quantity due to withdrawals and climate change impacts, are significant threats.

These factors combined have led to a decline in the species' abundance and distribution, with significant losses in representation (geographic, genetic, ecological variability) and redundancy (ability to withstand catastrophic events), and a weakening of population resilience (ability to withstand disturbances). The Species Status Assessment (SSA) report provides a bleak outlook for the species' future viability under various scenarios, predicting further declines in resilience, representation, and redundancy due to continued and possibly exacerbated threats unless significant conservation measures are implemented.",TRUE,NA,"4511SpeciesStatusAssessmentURLshttps://ecos.fws.gov/ServCat/DownloadFile/138974","Jayme",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/138974","",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"8",134,3788,"Bivalvia","Lampsilis rafinesqueana","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/80/24692?link-type=pdf","been specifically determined.™™ The 
commenters assert that the Service 
cannot lawfully rely on Clean Water Act 
standards when designating critical 
habitat, especially when the Service has 
not determined the specific levels of 
water quality parameters essential for 
the conservation of the species. 
Our Response: 
The Service has 
determined that specific areas within 
the geographical area occupied by the 
species at the time of listing contain 
physical or biological features essential 
to the conservation of Neosho mucket 
and rabbitsfoot. These features have 
been identified based on our current 
knowledge of the biological needs of 
the species. While it is true that specific 
ranges of water quality parameters 
that define suitable habitat conditions 
for Neosho mucket and rabbitsfoot have 
not been specifically determined, we 
have identified water quality conditions 
necessary to support the life history 
functions of these species. We used the 
best available scientific information, 
including information from species 
experts and existing regulatory 
mechanisms under the Clean Water Act, 
to inform our decision. The Clean Water 
Act standards provide relevant and 
appropriate information for our 
determination of the physical and 
biological features essential for the 
conservation of these species. The 
designation of critical habitat is based 
on the best available data regarding the 
biological needs of the Neosho mucket 
and rabbitsfoot, which includes general 
information about habitat conditions 
necessary for their survival and 
reproduction.",TRUE,NA,"3788CriticalHabitatDesignationURLshttps://www.govinfo.gov/link/fr/80/24692?link-type=pdf","Melissa",3788,"Bivalvia","Lampsilis rafinesqueana","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/80/24692?link-type=pdf","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"9",136,2574,"Bivalvia","Amblema neislerii","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/030930.pdf","Based on the provided text, the identified threats for *Amblema neislerii* (fat threeridge) and other related mussel species include:

1. **Significant Habitat Loss**: This is a major threat to the survival of *Amblema neislerii*, as it directly influences the species’ natural living conditions and resources necessary for their survival and reproduction.

2. **Range Restriction**: The limitation in the geographical range where these mussels can live contributes to their vulnerability. A limited range means that any further threats to their habitat can have more devastating impacts on their populations.

3. **Population Fragmentation and Size Reduction**: The division of populations into smaller, isolated groups reduces genetic diversity, which can affect the resilience of the species to diseases and environmental changes. Additionally, reduced population size heightens the risk of extinction.

4. **Habitat and Water Quality Alterations**: Changes to the mussels’ natural environments, such as alterations in water flow or quality due to pollution, can have negative effects on their health and ability to reproduce.

5. **Toxic Chemical Spills**: Events like chemical spills can have immediate and severe impacts on mussel populations, especially for those species with already limited distribution and low numbers.

6. **Genetic Isolation**: As populations become fragmented, the opportunities for genetic exchange diminish, which can lead to reduced fitness and adaptability of the species.

7. **Anthropogenic Activities**: Human activities such as impoundments, channelization, erosion due to inappropriate land uses, construction of new impoundments, water withdrawals, and the introduction of alien species pose significant risks to these mussels.

8. **Little Evidence of Recent Recruitment**: The lack of young mussels joining the population indicates problems in the reproductive success or survival of juveniles, which is crucial for the population's sustainability.

9. **Vulnerability to Catastrophic Events**: Given their already reduced and fragmented populations, catastrophic events could have disproportionately large impacts, possibly leading to local extinctions.

These threats highlight the importance of concerted conservation efforts, including habitat protection and restoration, and public education on ecosystem conservation, to ensure the survival and recovery of *Amblema neislerii* and related mussel species.",TRUE,NA,"2574RecoveryPlanURLshttps://ecos.fws.gov/docs/recovery_plan/030930.pdf","Jayme",2574,"Bivalvia","Amblema neislerii","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/030930.pdf","",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"10",141,2573,"Bivalvia","Fusconaia cor","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2137.pdf","From the extensive review provided on the Fusconaia cor, several identified threats to its survival and conservation have been detailed. Summarizing from the text, these threats include:

1. **Coal Mining and Urbanization:** Coal mining activities, urban expansion, and associated environmental changes have been highlighted as continuous threats, particularly in watersheds such as the Powell River. These activities lead to habitat destruction, water pollution, and alterations in water flow and sedimentation patterns that adversely affect Fusconaia cor populations.

2. **Agricultural Practices:** Agricultural pollution, due to runoff containing pesticides, fertilizers, and other chemicals, significantly threatens the water quality and habitat suitability for Fusconaia cor. The review discusses agricultural pollution potentially related to catastrophic population declines, especially noted in the North Fork Holston River.

3. **Toxic Chemical Spills:** Spills of toxic chemicals from various sources including industrial and mining operations can lead to immediate and severe impacts on populations of Fusconaia cor, eliminating large numbers of individuals or entire populations in affected areas.

4. **Habitat Modification and Loss:** Activities that alter the natural riverine habitats, including dam construction, water withdrawal, and modifications for navigation or flood control, can lead to habitat loss and fragmentation, adversely affecting Fusconaia cor populations. Such modifications can disrupt flow regimes, temperature, and oxygen levels which are critical for the survival of the species.

5. **Inadequate Protection and Management of Habitats:** While efforts are being made to improve stream and river conditions through partnerships and projects, the review suggests that significant threats from continual habitat degradation and insufficient protective measures remain. This includes ineffective management of coal, energy-related impacts, and other anthropogenic activities that continue to compromise the habitats of Fusconaia cor.

6. **Limited Genetic Variation and Propagation Challenges:** The review also touches on concerns regarding the genetic variation and the necessity for propagation technology development. The limited genetic variation due to fragmented populations could affect the species' adaptability, while challenges in developing propagation techniques hinder conservation efforts through augmentation and reintroduction.

7. **Discovery and Recovery Plan Implementation Challenges:** Efforts to discover new populations, re-establish populations in historical ranges, and implement recovery plans face challenges due to the continued presence of threats and the complexity of addressing habitat-related issues.

In summary, the primary threats identified for Fusconaia cor include coal mining, urbanization, agricultural activities, toxic spills, habitat modification, and loss, as well as challenges related to genetic variation, propagation, and effective protection and management of habitats.",TRUE,NA,"2573ReviewURLshttps://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2137.pdf","Melissa",2573,"Bivalvia","Fusconaia cor","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2137.pdf","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
