"","TaxonID","class","scientificName","documentType","urls"
"1",8928,"Anthozoa","Acropora palmata","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/73/72210?link-type=pdf"
"2",8929,"Anthozoa","Acropora cervicornis","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/73/72210?link-type=pdf"
"3",7009,"Gastropoda","Campeloma decampi","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2935.pdf"
"4",7009,"Gastropoda","Campeloma decampi","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1939.pdf"
"5",2337,"Gastropoda","Lioplax cyclostomaformis","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/051202.pdf"
"6",2337,"Gastropoda","Lioplax cyclostomaformis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf"
"7",2337,"Gastropoda","Lioplax cyclostomaformis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2352.pdf"
"8",2337,"Gastropoda","Lioplax cyclostomaformis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1008.pdf"
"9",2103,"Gastropoda","Tulotoma magnifica","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/001117.pdf"
"10",2103,"Gastropoda","Tulotoma magnifica","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3001.pdf"
"11",2103,"Gastropoda","Tulotoma magnifica","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1198.pdf"
"12",7668,"Gastropoda","Valvata utahensis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1360.pdf"
"13",9913,"Gastropoda","Marstonia castor","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/143503"
"14",7836,"Gastropoda","Marstonia ogmorhaphe","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Royal Snail Recovery Plan Amendment.pdf"
"15",7836,"Gastropoda","Marstonia ogmorhaphe","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/950811.pdf"
"16",7836,"Gastropoda","Marstonia ogmorhaphe","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2952.pdf"
"17",7836,"Gastropoda","Marstonia ogmorhaphe","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1889.pdf"
"18",3972,"Gastropoda","Marstonia pachyta","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/079553 20230905_DRAFT_Armored Snail Recovery Plan.docx.pdf"
"19",3972,"Gastropoda","Marstonia pachyta","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3024.pdf"
"20",3972,"Gastropoda","Marstonia pachyta","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1598.pdf"
"21",4779,"Gastropoda","Tryonia cheatumi","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/9483.pdf"
"22",4779,"Gastropoda","Tryonia cheatumi","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/78/40970?link-type=pdf"
"23",303,"Gastropoda","Tryonia clathrata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/133012"
"24",6219,"Gastropoda","Antrobia culveri","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/030922a.pdf"
"25",6219,"Gastropoda","Antrobia culveri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3655.pdf"
"26",6219,"Gastropoda","Antrobia culveri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2676.pdf"
"27",6219,"Gastropoda","Antrobia culveri","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/76/37663?link-type=pdf"
"28",2338,"Gastropoda","Lepyrium showalteri","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/051202.pdf"
"29",2338,"Gastropoda","Lepyrium showalteri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf"
"30",2338,"Gastropoda","Lepyrium showalteri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2353.pdf"
"31",2338,"Gastropoda","Lepyrium showalteri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1010.pdf"
"32",7006,"Gastropoda","Phreatodrobia imitata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/242314"
"33",924,"Gastropoda","Pleurocera foremani","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Rough Hornsnail Recovery Plan Amendment.pdf"
"34",924,"Gastropoda","Pleurocera foremani","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/2014 10 31  Three Mollusks final recovery plan.pdf"
"35",924,"Gastropoda","Pleurocera foremani","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4030.pdf"
"36",924,"Gastropoda","Pleurocera foremani","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/75/67512?link-type=pdf"
"37",9911,"Gastropoda","Leptoxis arkansensis","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/163741"
"38",2809,"Gastropoda","Leptoxis compacta","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/235777"
"39",5614,"Gastropoda","Leptoxis plicata","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/051202.pdf"
"40",5614,"Gastropoda","Leptoxis plicata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf"
"41",5614,"Gastropoda","Leptoxis plicata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2354.pdf"
"42",5614,"Gastropoda","Leptoxis plicata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1012.pdf"
"43",7019,"Gastropoda","Leptoxis foremani","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Interrupted Rocksnail Recovery Plan Amendment_1.pdf"
"44",7019,"Gastropoda","Leptoxis foremani","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/2014 10 31  Three Mollusks final recovery plan.pdf"
"45",7019,"Gastropoda","Leptoxis foremani","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2950.pdf"
"46",7019,"Gastropoda","Leptoxis foremani","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/75/67512?link-type=pdf"
"47",470,"Gastropoda","Leptoxis ampla","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/051202.pdf"
