,,,humanAnnotator,TaxonID,class,scientificName,documentType,urls,NOTES,Residential & Commerial Development,Agriculture & Aquaculture,Energy Producting & Mining,Transportation & Service Corridors,Biological Resource Use,Human Intrusions & Disturbance,Natural System Modifcations,Invasive & Other Problematic Species & Genes,Pollution,Geological Events,Climate Change & Severe Weather,Limiting/Intrinsic Population Factors,DISEASE?
Threat,,,Vaughn,1546,Insecta,Euphydryas anicia cloudcrofti,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/88/54263,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
1,Residential & commercial development,,Jayme,1397,Bivalvia,Ptychobranchus subtentus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Fluted Kidneyshell_Final RP.pdf,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
1.1,Housing & urban areas,,Melissa,9879,Bivalvia,Obovaria subrotunda,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/88/14794," We have determined that the longsolid and round hickorynut are threatened species due to the following threats: habitat degradation or loss (Factor A) from a variety of sources (e.g., dams and other barriers, resource extraction); degraded water quality from chemical contamination and erosion from development, agriculture, mining, and forest conversion (Factor A); direct mortality from dredging (Factor E); residual impacts (reduced population size) from historical harvest (Factor B); and the proliferation of invasive, nonnative species (Factor E). These threats also contribute to the negative effects associated with the species’ small population sizes (Factor E). ",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.2,Commercial & industrial areas,,Ann Marie,317,Bivalvia,Epioblasma metastriata,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf,Presumed extinct; main threats for all species in document were habitat modification due to dams and aquatic pollution,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3,Tourism & recreation areas,,Vaughn,6944,Malacostraca,Procaris hawaiana,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Hawaiian_Archipelago_Recovery_Plan_20221214.pdf,,,,,,,,,,,,,,
2,Agriculture & aquaculture,,Jayme,8083,Bivalvia,Medionidus simpsonianus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Ochlockonee Moccasinshell Recovery Plan Amendment_1.pdf,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
2.1,Annual & perennial non-timber crops,,Melissa,9815,Malacostraca,Faxonius eupunctus,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/163713,"excessive sedimentation and degraded water quality. hough the effects of degraded water quality on the two species of crayfish is unclear, we presume that degraded water quality reduces reproduction and survivorship of crayfish. ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2.2,Wood & pulp plantations,,Ann Marie,4780,Gastropoda,Taylorconcha serpenticola,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/951126.pdf,**Does agricultural pollution qualify both agriculture and pollution as threats?,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2.3,Livestock farming & ranching,,Vaughn,7867,Bivalvia,Cumberlandia monodonta,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/224411,,,,,,,,,,,,,,
2.4,Marine & freshwater aquaculture,,Jayme,5011,Malacostraca,Cambarus aculabrum,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Cave Crayfish Recovery Plan Amendment.pdf,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,Energy production & mining,,Melissa,464,Gastropoda,Triodopsis platysayoides,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2768.pdf,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3.1,Oil & gas drilling,,Ann Marie,2575,Bivalvia,Medionidus parvulus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Coosa moccasinshell and Southern pigtoe Recovery Plan Amendment_2.pdf,"Document is an amendment to recovery criteria, so does not go into a lot of detail about theats",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3.2,Mining & quarrying,,Vaughn,8469,Bivalvia,Epioblasma othcaloogensis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf,,,,,,,,,,,,,,
3.3,Renewable energy,,Jayme,3140,Insecta,Texamaurops reddelli,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/940825.pdf,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4,Transportation & service corridors,,Melissa,1520,Bivalvia,Pleurobema georgianum,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2855.pdf,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
4.1,Roads & railroads,,Ann Marie,5665,Malacostraca,Vetericaris chaceorum,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/88/18756,"Designation of critical habitat denied for this species because disclosing locations would not be prudent. The rest of the document focuses on species that do warrant critical habitat, so no further details on threats.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.2,Utility & service lines,,Vaughn,7663,Bivalvia,Medionidus penicillatus,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/72/64286?link-type=pdf,,,,,,,,,,,,,,
4.3,Shipping lanes,,Jayme,6929,Insecta,Speyeria zerene myrtleae,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1337.pdf,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
4.4,Flight paths,,Melissa,4779,Gastropoda,Tryonia cheatumi,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/78/40970?link-type=pdf,It did not have a specific threats sections -- declining spring flows,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,Biological resource use,,Ann Marie,3394,Insecta,Callophrys mossii bayensis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/956.pdf,"**How are pesticides categorized? Marked ""pollution"" for now; ""poaching"" mentioned as threat, so marked ""biological resource use""",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
5.1,Hunting & collecting terrestrial animals,,Vaughn,7287,Bivalvia,Medionidus acutissimus,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/69/40084?link-type=pdf,,,,,,,,,,,,,,
5.2,Gathering terrestrial plants,,Jayme,1028,Insecta,Hesperia dacotae,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/155865,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
5.3,Logging & wood harvesting,,Melissa,1142,Gastropoda,Erinna newcombi,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3813.pdf,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
5.4,Fishing & harvesting aquatic resources,,Ann Marie,4382,Insecta,Apodemia mormo langei,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1250.pdf,"**Herbicides (on host plants) considered threat, marked under ""pollution",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
6,Human intrusions & disturbance,,Vaughn,3057,Insecta,Optioservus phaeus,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/169759,,,,,,,,,,,,,,
6.1,Recreational activities,,Jayme,298,Bivalvia,Pleurobema taitianum,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2332.pdf,,Couldn't do this one as there was nothing about threats,,,,,,,,,,,,
6.2,"War, civil unrest & military exercises",,Melissa,9002,Gastropoda,Pyrgulopsis turbatrix,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/204767,"NOT LISTED, groundwater pumping",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
6.3,Work & other activities,,Ann Marie,66,Insecta,Nicrophorus americanus,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/165011,"Mentioned many likely threats (all marked true), but decrease in prey and habitat modification were the major things",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
7,Natural system modifications,,Vaughn,1248,Bivalvia,Alasmidonta atropurpurea,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1037.pdf,,,,,,,,,,,,,,
