,TaxonID,ScientificName,ListingStatus,ListingLocality,ListingDates,SpeciesStatusAssessmentDates,SpeciesStatusAssessmentURLs,SpeciesStatusAssesmentTitles,RecoveryPlanDates,RecoveryPlanURLs,RecoveryPlanTitles,ReviewDates,ReviewURLs,ReviewTitles,CriticalHabitatDesignationDates,CriticalHabitatDesignationURLs,CriticalHabitatDesignationTitles
0,4690,Abies fraseri,,,,,,,,,,,,,,,
0,2543,Abies guatemalensis,Threatened,Wherever found,12-10-1979,,,,,,,,,,,,
0,2593,Ablautus schlingeri,,,,,,,,,,,,,,,
0,5014,Abronia alpina,,,,,,,,,,,,,,,
0,8786,Abronia ammophila,,,,,,,,,,,,,,,
0,8618,Abronia ammophila var.,,,,,,,,,,,,,,,
0,2539,Abronia ammphila,,,,,,,,,,,,,,,
0,3291,Abronia bigelovii,,,,,,,,,,,,,,,
0,1882,Abronia macrocarpa,Endangered,Wherever found,09-28-1988,,,,09-30-1992,https://ecos.fws.gov/docs/recovery_plan/920930d.pdf,None,08-29-2022; 11-19-2010,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3934.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1694.pdf,None; None,,,
0,6168,Abronia turbinata,,,,,,,,,,,,,,,
0,2176,Abronia umbellata acutalata,,,,,,,,,,,,,,,
0,7506,Abronia umbellata breviflora,,,,,,,,,,,,,,,
0,2927,Abutilon eremitopetalum,Endangered,Wherever found,09-20-1991,,,,09-29-1995,https://ecos.fws.gov/docs/recovery_plan/950929a.pdf,None,06-06-2023; 10-23-2018; 03-11-2014; 08-27-2010,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4108.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2608.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2176.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1631.pdf,None; None; None; None,03-30-2016,https://www.govinfo.gov/link/fr/81/17789?link-type=pdf,None
0,4853,Abutilon hulseanum,,,,,,,,,,,,,,,
0,3268,Abutilon menziesii,Endangered,Wherever found,09-26-1986,,,,09-29-1995,https://ecos.fws.gov/docs/recovery_plan/950929a.pdf,None,06-06-2023; 10-23-2018; 08-02-2011,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4110.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2609.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1743.pdf,None; None; None,,,
0,7508,Abutilon parishii,,,,,,,,,,,,,,,
0,7482,Abutilon sandwicense,Endangered,Wherever found,10-29-1991,,,,08-10-1998,https://ecos.fws.gov/docs/recovery_plan/980810.pdf,None,09-20-2019; 08-02-2011,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2819.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1744.pdf,None; None,09-18-2012,https://www.govinfo.gov/link/fr/77/57647?link-type=pdf,None
0,8030,Abutilon virginianum,,,,,,,,,,,,,,,
0,8413,Acacia koaia,,,,,,,,,,,,,,,
0,7600,Acaena exigua,Endangered,Wherever found,05-15-1992,,,,07-29-1997,https://ecos.fws.gov/docs/recovery_plan/970729.pdf,None,03-02-2020; 03-11-2014; 07-29-2009,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2947.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2177.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1426.pdf,None; None; None,03-30-2016,https://www.govinfo.gov/link/fr/81/17789?link-type=pdf,None
0,6939,Acalyptera susanae,,,,,,,,,,,,,,,
0,6816,Acanthocyclops columbiensis,,,,,,,,,,,,,,,
0,7879,Acanthometropus pecatonica,,,,,,,,,,,,,,,
0,351,Acanthomintha ilicifolia,Threatened,Wherever found,10-13-1998,,,,,,,08-31-2022; 08-12-2009,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3957.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1469.pdf,None; None,08-26-2008,https://www.govinfo.gov/link/fr/73/50454?link-type=pdf,None
0,749,Acanthomintha obovata obovata,,,,,,,,,,,,,,,
