,taxon_id,scientificName,currentListingStatus,currentListingLocality,allListingDates,allReviewDates,allReviewURLs
0,2593,Ablautus schlingeri,Not Listed,,,,
0,6939,Acalyptera susanae,Not Listed,,,,
0,6816,Acanthocyclops columbiensis,Not Listed,,,,
0,7879,Acanthometropus pecatonica,Not Listed,,,,
0,304,Achatinella spp.,Endangered,Wherever found,02-12-1981,09-30-2019; 09-20-2011,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2882.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1788.pdf
0,8259,Acneus beeri,Not Listed,,,,
0,3543,Acneus burnelli,Not Listed,,,,
0,2811,Acrolophitus pulchellus,Not Listed,,,,
0,5403,Acroloxus coloradensis,Not Listed,,,,
0,9914,Acroneuria kosztarabi,Under Review,,,,
0,662,Acronicta albarufa,Not Listed,,,,
0,8929,Acropora cervicornis,Threatened,Wherever found,06-08-2006,,
0,9332,Acropora globiceps,Threatened,Wherever found,11-13-2014,,
0,9319,Acropora jacquelinae,Threatened,Wherever found,11-13-2014,,
0,9320,Acropora lokani,Threatened,Wherever found,11-13-2014,,
0,8928,Acropora palmata,Threatened,Wherever found,06-08-2006,,
0,9338,Acropora pharaonis,Threatened,Wherever found,11-13-2014,,
0,9340,Acropora retusa,Threatened,Wherever found,11-13-2014,,
0,9321,Acropora rudis,Threatened,Wherever found,11-13-2014,,
0,9341,Acropora speciosa,Threatened,Wherever found,11-13-2014,,
0,9343,Acropora tenella,Threatened,Wherever found,11-13-2014,,
0,905,Adella oplerella,Not Listed,,,,
0,7122,Adelocosa anops,Endangered,Wherever found,01-14-2000,08-04-2022; 09-05-2017; 09-29-2006,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3812.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2407.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1030.pdf
0,7864,Adhemarius blanchardorum,Not Listed,,,,
0,8066,Aegialia concinna,Not Listed,,,,
0,1037,Aegialia crescenta,Not Listed,,,,
0,3985,Aegialia hardyi,Not Listed,,,,
0,7032,Aegialia magnifica,Not Listed,,,,
0,8807,afilia species,Not Listed,,,,
0,5407,Aflexia rubranura,Not Listed,,,,
0,7558,Agabus rumppi,Not Listed,,,,
0,8899,agapema galbina,Not Listed,,,,
0,333,Agapetus artesus,Not Listed,,,,
0,4421,Agapetus denningi,Not Listed,,,,
0,487,Agapetus jocassee,Not Listed,,,,
0,1786,Agapetus medicus,Not Listed,,,,
0,2354,Agarodes alabamensis,Not Listed,,,,
0,9820,Agarodes logani,Under Review,,,,
0,5650,Agarodes stannardi,Not Listed,,,,
0,1409,Agarodes ziczac,Not Listed,,,,
0,8901,agathon arizonicus,Not Listed,,,,
0,5643,Agonum belleri,Not Listed,,,,
0,7517,Agrilus harenus,Not Listed,,,,
0,7860,Agrotis buchholzi,Not Listed,,,,
0,6940,Agrotis cremata,Not Listed,,,,
0,5447,Agrotis crinigera,Not Listed,,,,
0,3557,Agrotis fasciata,Not Listed,,,,
0,213,Agrotis kerri,Not Listed,,,,
0,5001,Agrotis laysanensis,Not Listed,,,,
0,1414,Agrotis melanoneura,Not Listed,,,,
0,8093,Agrotis microreas,Not Listed,,,,
0,2691,Agrotis potophila,Not Listed,,,,
0,1796,Agrotis procellaris,Not Listed,,,,
0,8900,agylla septentrionalis,Not Listed,,,,
0,2790,Alabameubria starki,Not Listed,,,,
0,8475,Alasmidonta arcula,Not Listed,,,,
0,1248,Alasmidonta atropurpurea,Endangered,Wherever found,01-10-1997,07-12-2022; 07-16-2015; 01-24-2007,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3755.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2345.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1037.pdf
0,784,Alasmidonta heterodon,Endangered,Wherever found,03-14-1990,08-28-2019; 04-17-2013; 07-25-2007,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2774.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2335.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1069.pdf
0,8220,Alasmidonta marginata,Not Listed,,,,
0,3255,Alasmidonta mccordi,Not Listed,,,,
0,5039,Alasmidonta raveneliana,Endangered,Wherever found,11-23-1994,07-29-2022; 08-28-2017; 03-03-2009,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2386.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1317.pdf
0,917,Alasmidonta robusta,Not Listed,,,,
0,9871,Alasmidonta triangulata,Proposed Endangered,,,,
0,785,Alasmidonta varicosa,Not Listed,,,,
0,7412,Alasmidonta wrightiana,Not Listed,,,,
0,8911,albiorix anophthalmus,Not Listed,,,,
0,8605,alexicles aspersa,Not Listed,,,,
0,3768,Algamorda newcombiana,Not Listed,,,,
0,9919,Allocapnia brooksi,Under Review,,,,
0,9920,Allocapnia cunninghami,Under Review,,,,
0,9916,Allocapnia fumosa,Not Listed,,,,
0,554,Allocrangonyx hubrichti,Not Listed,,,,
0,5069,Allocrangonyx pellucidus,Not Listed,,,,
0,8694,Allomyia hector,Not Listed,,,,
0,7026,Alloperla natchez,Not Listed,,,,
0,4529,Alloperla roberti,Not Listed,,,,
